ap_car,ap_cat,ap_chair,ap_dog,ap_person,checkpoint,checkpoint_path,conf_thresh,mAP@0.5,max_det,micro_precision,micro_recall,mode,nms_iou_thresh,num_predictions,precision_car,precision_cat,precision_chair,precision_dog,precision_person,recall_car,recall_cat,recall_chair,recall_dog,recall_person
0.356894,0.812509,0.427655,0.809287,0.633109,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.25,0.607891,30,0.123985,0.82385,classwise_current_max30,0.3,13429,0.05861,0.678733,0.102912,0.445844,0.13026,0.798587,0.852273,0.72695,0.859223,0.844507
0.356894,0.812509,0.427655,0.809287,0.633109,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.3,0.607891,30,0.123985,0.82385,classwise_current_max30,0.3,13429,0.05861,0.678733,0.102912,0.445844,0.13026,0.798587,0.852273,0.72695,0.859223,0.844507
0.356284,0.808422,0.428484,0.81249,0.633667,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.35,0.607869,50,0.099542,0.827808,raw_max50,0.3,16807,0.041759,0.723301,0.090239,0.445,0.107683,0.80212,0.846591,0.737589,0.864078,0.848231
0.334563,0.822943,0.431118,0.813057,0.637251,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.3,0.607787,50,0.082996,0.853043,raw_max50,0.35,20772,0.034854,0.656652,0.074201,0.403153,0.089818,0.823322,0.869318,0.765957,0.868932,0.878026
0.356107,0.808422,0.42781,0.81249,0.633667,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.35,0.607699,50,0.112239,0.826324,classwise_current_max50,0.3,14879,0.050492,0.723301,0.097862,0.445,0.118435,0.798587,0.846591,0.730496,0.864078,0.848231
0.356922,0.808422,0.427779,0.810216,0.634133,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.4,0.607494,100,0.104193,0.828798,raw_max100,0.3,16076,0.042621,0.752525,0.096217,0.474531,0.114379,0.809187,0.846591,0.730496,0.859223,0.851024
0.33591,0.819045,0.430719,0.814151,0.63746,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.35,0.607457,100,0.083712,0.856012,raw_max100,0.35,20666,0.034211,0.703704,0.078726,0.42619,0.091632,0.844523,0.863636,0.762411,0.868932,0.879888
0.356284,0.808422,0.42781,0.810216,0.633667,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.4,0.60728,50,0.109179,0.826324,raw_max50,0.3,15296,0.045989,0.752525,0.097862,0.474531,0.118558,0.80212,0.846591,0.730496,0.859223,0.848231
0.356107,0.808422,0.42781,0.810216,0.633667,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.4,0.607244,50,0.112436,0.825829,classwise_current_max50,0.3,14844,0.050492,0.752525,0.097862,0.474531,0.118435,0.798587,0.846591,0.730496,0.859223,0.848231
0.334563,0.822943,0.430217,0.811017,0.636976,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.15,0.607143,50,0.102269,0.849579,classwise_current_max50,0.35,16789,0.045821,0.656652,0.089722,0.425837,0.108307,0.823322,0.869318,0.755319,0.864078,0.875233
0.334563,0.822943,0.430217,0.811017,0.636976,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.2,0.607143,50,0.102269,0.849579,classwise_current_max50,0.35,16789,0.045821,0.656652,0.089722,0.425837,0.108307,0.823322,0.869318,0.755319,0.864078,0.875233
0.334563,0.822943,0.430217,0.811017,0.636976,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.25,0.607143,50,0.102269,0.849579,classwise_current_max50,0.35,16789,0.045821,0.656652,0.089722,0.425837,0.108307,0.823322,0.869318,0.755319,0.864078,0.875233
0.334563,0.822943,0.430217,0.811017,0.636976,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.3,0.607143,50,0.102269,0.849579,classwise_current_max50,0.35,16789,0.045821,0.656652,0.089722,0.425837,0.108307,0.823322,0.869318,0.755319,0.864078,0.875233
0.334829,0.823027,0.430306,0.811017,0.636282,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.15,0.607092,30,0.116096,0.845126,classwise_current_max30,0.35,14712,0.054399,0.659483,0.096848,0.426859,0.122286,0.812721,0.869318,0.751773,0.864078,0.870577
0.334829,0.823027,0.430306,0.811017,0.636282,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.2,0.607092,30,0.116096,0.845126,classwise_current_max30,0.35,14712,0.054399,0.659483,0.096848,0.426859,0.122286,0.812721,0.869318,0.751773,0.864078,0.870577
0.334829,0.823027,0.430306,0.811017,0.636282,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.25,0.607092,30,0.116096,0.845126,classwise_current_max30,0.35,14712,0.054399,0.659483,0.096848,0.426859,0.122286,0.812721,0.869318,0.751773,0.864078,0.870577
0.334829,0.823027,0.430306,0.811017,0.636282,phase2,checkpoints/best_map_resnet50_mse_phase2.pth,0.3,0.607092,30,0.116096,0.845126,classwise_current_max30,0.35,14712,0.054399,0.659483,0.096848,0.426859,0.122286,0.812721,0.869318,0.751773,0.864078,0.870577
